symbol,company,industry,exchange,trading_volume_and_chartered_capital
LinhGas,CTCP Linh Gas Việt Nam,Sản xuất sản phẩm khoáng chất phi kim,OTC,0
LMR,CTCP Liên Minh,Bất động sản,OTC,10000000
LOGOS,Công ty TNHH với Kế toán và Kiểm toán,Dịch vụ pháp lý,Khác,0
LongTho,CTCP Long Thọ,Sản xuất sản phẩm khoáng chất phi kim,OTC,0
LotusIMC,CTCP Quản lý Quỹ Bông Sen,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",OTC,0
LungLo3,Công ty TNHH MTV Lũng Lô 3,Chăn nuôi,Khác,0
LuongMyPoultry,CTCP Giống Gia Cầm Lương Mỹ,Chăn nuôi,OTC,0
LuongSonHoaBinh,CTCP Xi măng Vinaconex Lương Sơn Hoà Bình,Sản xuất sản phẩm khoáng chất phi kim,OTC,0
LVC,CTCP Quản lý Quỹ Lộc Việt,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",OTC,0
LVN,CTCP Len Việt Nam,"Sản xuất sợi, vải",OTC,0
LVS,CTCP Chứng khoán Liên Việt,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,12500000
LWPC,Công ty Thế giới Lào,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",Lào,0
LWS,CTCP Cấp nước Tỉnh Lào Cai,"Nước, chất thải và các hệ thống khác",OTC,17717665
LXS,CTCP Chứng khoán Lanexang,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",Lào,0
LYF,CTCP Lương thực Lương Yên,Sản xuất thực phẩm,OTC,300
MAAC,Công ty TNHH Quản Lý - Kiểm toán - Tư vấn M.A.A.C,Dịch vụ pháp lý,Khác,0
MAFC,Công ty Tài chính TNHH MTV Mirae Asset,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",Khác,0
MAFEQI,Quỹ đầu tư Cổ phiếu Manulife,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,6511338
MAFPF1,Quỹ đầu tư tăng trưởng Manulife,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",OTC,21409530
MaiDong,Công ty TNHH MTV Mai Động,"Sản xuất thiết bị, máy móc",Khác,0
Manulife,Công ty TNHH Manulife (Việt Nam),Bảo hiểm và các hoạt động liên quan,Khác,0
ManulifeAM,Công ty TNHH Quản lý Quỹ Manulife Investment (Việt Nam),"Quỹ, Quỹ tín thác và các công cụ tài chính khác",Khác,0
MAX,CTCP Khai khoáng và Cơ khí Hữu Nghị Vĩnh Sinh,Sản xuất sản phẩm khoáng chất phi kim,OTC,7200000
MayDongA,CTCP Dệt may Đông Á,"Sản xuất sợi, vải",OTC,3650000
MayLongAn,CTCP Cơ khí và Chế tạo Máy Long An,Sản xuất trang thiết bị nội thất và sản phẩm liên quan,OTC,0
MayPhuongDong,CTCP May Phương Đông,"Sản xuất sợi, vải",OTC,0
MaySaiGon2,CTCP May Sài Gòn 2,"Sản xuất sợi, vải",OTC,0
MaySaiGon3,CTCP May Sài Gòn 3,"Sản xuất sợi, vải",OTC,0
MayThangLong,CTCP May Thăng Long,"Sản xuất sợi, vải",OTC,2330670
MayVietThang,CTCP May Việt Thắng,"Sản xuất sợi, vải",OTC,1600000
MayVietThinh,CTCP May Việt Thịnh,"Sản xuất sợi, vải",OTC,26000000
Mazars,Công ty TNHH Mazars Việt Nam,Dịch vụ pháp lý,Khác,0
MBAgeasLife,Công ty TNHH Bảo hiểm nhân thọ MB Ageas,Bảo hiểm và các hoạt động liên quan,Khác,0
MBCapital,CTCP Quản lý Quỹ đầu tư MB,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",OTC,0
MBEF1,Quỹ đầu tư Cổ phần MB Capital 1,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",Khác,0
MBKE,Công ty TNHH Chứng khoán Maybank,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",Khác,20000000
MBVF,Quỹ đầu tư Giá trị MB Capital,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,11907937
MC3,CTCP Khoáng sản 3 - Vimico,Các hoạt động hỗ trợ Khai khoáng,OTC,3500000
Mccons,CTCP Thi công Cơ giới và Dịch vụ,"Xây dựng nhà cửa, cao ốc",OTC,3510000
MCI,CTCP Đầu tư Xây dựng và Phát triển Vật liệu IDICO,Xây dựng công nghiệp nặng và dân dụng,OTC,3500000
MCJ,CTCP Thiết bị Phụ tùng,Bán buôn hàng tiêu dùng,OTC,5000000
MCL,CTCP Phát triển Nhà và Sản xuất Vật liệu Xây dựng Chí Linh,Sản xuất sản phẩm khoáng chất phi kim,OTC,2220000
MCS,CTCP Thi công Cơ giới Xây lắp,"Xây dựng nhà cửa, cao ốc",OTC,3500000
MCT,CTCP Kinh doanh Vật Tư và Xây dựng,Sản xuất sản phẩm khoáng chất phi kim,OTC,2500000
MCV,CTCP Cavico Việt Nam Khai thác mỏ và Xây dựng,Xây dựng công nghiệp nặng và dân dụng,OTC,12092161
MDB,Ngân hàng TMCP Phát triển Mê Kông,Trung gian tín dụng và các hoạt động liên quan,Khác,375000000
MDFVINAFOR,Công ty TNHH MDF Vinafor – Tân An Hòa Bình,Sản xuất các sản phẩm gỗ,Khác,0
MDN,CTCP Tổng Công ty May Đồng Nai,Sản xuất các sản phẩm may mặc,OTC,10935584
MDT,CTCP Cơ khí mỏ và Đóng tàu - TKV,Sản xuất phương tiện vận tải,OTC,1510000
MEBI,CTCP Dược phẩm và Sinh học Y tế,Sản xuất khác,OTC,0
MECO,CTCP Cơ điện Luyện kim Thái Nguyên,Sản xuất sản phẩm khoáng chất phi kim,OTC,0
Medico,CTCP Phát triển khoáng Sản,Sản xuất sản phẩm khoáng chất phi kim,OTC,0
Mediplast,CTCP Nhựa Y tế Mediplast,Sản xuất khác,OTC,0
MEG,CTCP Megram,"Sản xuất trang thiết bị, dụng cụ điện",OTC,44000000
MekongCapital,Công ty TNHH Tư vấn Mekong Capital,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",Khác,0
MEKONIMEX,CTCP Nông sản Thực phẩm Xuất khẩu Cần Thơ,Chăn nuôi,OTC,0
MHAuditing,Công ty TNHH Kiểm toán M&H,Dịch vụ pháp lý,Khác,0
MHB,Ngân hàng TMCP Phát triển Nhà Đồng bằng sông Cửu Long,Trung gian tín dụng và các hoạt động liên quan,Khác,306215200
MHBS,CTCP Chứng khoán MHB,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,14000000
MHDAudit,Công ty TNHH Kiểm toán MHD,Dịch vụ pháp lý,Khác,0
MHP,CTCP Môi trường và Dịch vụ Đô thị Việt Trì,Dịch vụ quản lý và tái chế chất thải,OTC,3583140
MHY,CTCP Môi trường và Công trình Đô thị Hưng Yên,"Kiến trúc, tư vấn xây dựng và dịch vụ liên quan",OTC,31800
MiaDuongBenTre,CTCP Mía đường Bến Tre,Sản xuất thực phẩm,OTC,0
MiaDuongNongCong,CTCP Mía Đường Nông Cống,Sản xuất thực phẩm,OTC,0
MiaDuongSonDuong,CTCP Mía đường Sơn Dương,Sản xuất thực phẩm,OTC,0
MienTrung,CTCP Đầu tư và Phát triển Miền Trung,Vận tải đường bộ,OTC,0
MIH,CTCP Xuất nhập khẩu Khoáng sản Hà Nam,Sản xuất các sản phẩm nhựa và cao su,OTC,4000000
MINEXCO,CTCP Khoáng sản và Đầu tư Khánh Hòa,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),OTC,0
MinhPhuc,CTCP Sản xuất và Thương mại Minh Phúc,Sản xuất giấy,OTC,4757770
MinhVietCapital,CTCP Quản lý Quỹ PAVO CAPITAL,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",OTC,0
MiraeAsset,CTCP Chứng khoán Mirae Asset (Việt Nam),"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",Khác,0
MIREX,CTCP Khoáng sản và Luyện kim Việt Nam,Sản xuất sản phẩm khoáng chất phi kim,OTC,0
MIWACO,CTCP Nước khoáng và Du Lịch Sơn Kim,Sản xuất thực phẩm,OTC,0
MJC,CTCP Thương mại Mộc Hóa,Cửa hàng đồ nội thất và đồ dùng gia đình,OTC,1596620
MKT,CTCP Dệt Minh Khai,Sản xuất các sản phẩm may mặc,OTC,3200000
MLG,CTCP Tập đoàn Mai Linh,Vận tải trung chuyển và vận tải hành khách bằng đường bộ,OTC,70716427
MLN,CTCP Mai Linh Miền Bắc,Vận tải trung chuyển và vận tải hành khách bằng đường bộ,Khác,48625332
MMC,CTCP khoáng Sản Mangan,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),Khác,3160000
MNC,CTCP Mai Linh Miền Trung,Vận tải trung chuyển và vận tải hành khách bằng đường bộ,Khác,9279261
MobiFone,Tổng Công ty Viễn thông MobiFone - Công ty TNHH MTV,Viễn thông,Khác,0
MOBITECHS,CTCP Dịch vụ Kỹ thuật và Hạ tầng Mạng Thông Tin Di Động,Viễn thông,OTC,0
MotorVN,CTCP United Motor Việt Nam,Sản xuất trang thiết bị nội thất và sản phẩm liên quan,OTC,37500000
MSC,CTCP Dịch vụ Phú Nhuận,Bán buôn hàng tiêu dùng,OTC,22500000
MSGS,Công ty TNHH chứng khoán JB Việt Nam,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",Khác,30000000
MSI,CTCP Chứng khoán KB Việt Nam,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,0
MTJ,CTCP Tư vấn và Xây dựng công trình Miền Trung,"Xây dựng nhà cửa, cao ốc",OTC,4500000
MTM,CTCP mỏ và Xuất nhập khẩu Khoáng sản Miền Trung,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),OTC,31000000
MVY,CTCP Môi trường và Dịch vụ Đô Thị Vĩnh Yên,Dịch vụ quản lý và tái chế chất thải,OTC,5969946
MXC,Trung tâm Nông nghiệp Mùa Xuân,Trồng rừng và khai thác gỗ,OTC,700938
MyKhe,CTCP Mỹ Khê Việt Nam,Khách sạn và phòng ở,OTC,0
MyPhamSG,CTCP Mỹ phẩm Sài Gòn,Bán buôn hàng tiêu dùng,OTC,0
Nakydaco,CTCP Dầu thực vật Tân Bình,Sản xuất thực phẩm,OTC,4310000
NamChien,CTCP Thủy điện Nậm Chiến,Chăn nuôi,OTC,0
NAMCO,CTCP Khoáng sản Nghệ An,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),OTC,0
NamKhang,CTCP Đầu tư Nam Khang,"Xây dựng nhà cửa, cao ốc",OTC,8300000
NamMuc,CTCP Thủy điện Nậm Mức,Chăn nuôi,OTC,0
NamThi,CTCP Thủy điện Nậm Thi - Sông Đà 7,"Xây dựng nhà cửa, cao ốc",OTC,0
NamTrieu,CTCP Công nghiệp Tàu thủy và Xây dựng Nam Triệu,Sửa chữa và bảo trì,OTC,0
NamVietOil,CTCP Lọc Hoá Dầu Nam Việt,Bán buôn hàng tiêu dùng,OTC,0
Natraco,CTCP Thương mại Nghệ An,Bán lẻ xe hơi và phụ tùng,OTC,0
NBN,CTCP Xây dựng Công trình 545,"Xây dựng nhà cửa, cao ốc",OTC,0
NBR,CTCP Đường sắt Nghĩa Bình,Hỗ trợ vận tải,OTC,1806000
NBS,CTCP Bến xe Nghệ An,Hỗ trợ vận tải,OTC,3153200
NCP,CTCP Nhiệt điện Cẩm Phả - TKV,"Phát, truyền tải và phân phối điện năng",Khác,196980622
NEEM,CTCP Thiết bị Điện Miền Bắc,Chăn nuôi,OTC,0
NgocHy,CTCP Dịch vụ In Trần Ngọc Hy Cà Mau,Dịch vụ quản lý và tái chế chất thải,OTC,0
NgocTung,CTCP Sản xuất Thương mại Dịch vụ Ngọc Tùng,"Sản xuất hóa chất, dược phẩm",OTC,0
NgoVietNam,CTCP Đầu tư Phát triển Ngô Việt Nam,Trồng trọt,OTC,0
NhaBeTech,CTCP Tư vấn Công nghệ Nhà Bè,Thiết kế hệ thống máy tính và dịch vụ liên quan,OTC,0
NHACANTHO,Công ty TNHH MTV Phát triển và Kinh doanh Nhà Thành phố Cần Thơ,"Xây dựng nhà cửa, cao ốc",Khác,0
NhanLuc,CTCP Phát triển Nguồn nhân lực LOD,Dịch vụ hành chính và hỗ trợ,OTC,0
NhaSaiGon,CTCP Đầu tư Xây dựng và Kinh doanh Nhà Sài Gòn,Bất động sản,OTC,0
NhatMinhAudit,Công ty TNHH Kiểm toán Nhất Minh,Dịch vụ pháp lý,Khác,0
NhatNam,CTCP Nhất Nam,"Sản xuất các sản phẩm điện tử, vi tính",OTC,0
NHDulieu,Công ty TNHH Ngân hàng Dữ liệu,Dịch vụ pháp lý,Khác,0
NhietDienMienBac,CTCP Dịch vụ Sửa chữa Nhiệt điện Miền Bắc,Sửa chữa và bảo trì,OTC,0
NHN,CTCP Phát triển Đô thị Nam Hà Nội,Bất động sản,OTC,200000000
NhoQue1,CTCP Thủy điện Nho Quế 1,"Phát, truyền tải và phân phối điện năng",OTC,0
NHS,CTCP Đường Ninh Hòa,Sản xuất thực phẩm,OTC,60750000
NHSV,Công ty TNHH Chứng khoán NH Việt Nam,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",Khác,0
NhuNgoc,CTCP Sản xuất và Thương mại Xuất nhập khẩu Như Ngọc,Bán buôn hàng tiêu dùng,OTC,0
NHW,CTCP Ngô Han,"Sản xuất các sản phẩm điện tử, vi tính",OTC,22950627
NIC,CTCP Đầu tư Nhơn Trạch,"Xây dựng nhà cửa, cao ốc",OTC,0
Nicotex,CTCP Nicotex,"Sản xuất hóa chất, dược phẩm",Khác,0
NinhBac,CTCP Đầu tư Tài chính Ninh Bắc,Bất động sản,OTC,0
NIS,CTCP Dịch vụ Hạ tầng Mạng,Viễn thông,OTC,3000000
NISACO,CTCP Muối Ninh Thuận,Sản xuất thực phẩm,OTC,0
NKD,CTCP Chế biến thực phẩm Kinh Đô Miền Bắc,Sản xuất thực phẩm,OTC,15124213
NLC,CTCP Thủy điện Nà Lơi,"Phát, truyền tải và phân phối điện năng",OTC,5000000
NMK,CTCP Xây dựng Công trình 510,"Xây dựng nhà cửa, cao ốc",OTC,2700000
NNB,CTCP Cấp thoát nước Ninh Bình,"Nước, chất thải và các hệ thống khác",OTC,15080000
NNG,CTCP Công nghiệp - Dịch vụ - Thương mại Ngọc Nghĩa,Sản xuất các sản phẩm nhựa và cao su,OTC,81570988
NNQ,CTCP Giống Nông nghiệp Quảng Nam,Hoạt động hỗ trợ cho nông lâm nghiệp,OTC,1281303
NoiHoiVN,CTCP Nồi hơi Việt Nam,Sản xuất sản phẩm khoáng chất phi kim,OTC,0
NongSanNinhThuan,CTCP Xuất khẩu Nông sản Ninh Thuận,Sản xuất thực phẩm,OTC,0
NovaGroup,CTCP Tập đoàn NovaGroup,Phát triển bất động sản,OTC,0
NPH,CTCP Khách Sạn Bưu Điện Nha Trang,Khách sạn và phòng ở,OTC,2000000
NPS,CTCP May Phú Thịnh - Nhà Bè,Sản xuất các sản phẩm may mặc,OTC,2170000
NS3,CTCP Sản xuất Kinh doanh Nước sạch Số 3 Hà Nội,"Nước, chất thải và các hệ thống khác",OTC,7919999
NSCTech,CTCP Công nghệ NCS,"Xử lý dữ liệu, hosting và các dịch vụ liên quan",OTC,4000000
NSI,CTCP Chứng khoán Quốc Gia,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,5000000
NSN,CTCP Xây dựng 565,"Xây dựng nhà cửa, cao ốc",OTC,2959314
NSP,CTCP Nhựa Sam Phú,Sản xuất các sản phẩm nhựa và cao su,OTC,5000000
NTR,CTCP Đường sắt Nghệ Tĩnh,Hỗ trợ vận tải,OTC,1492000
NTS,CTCP Nội thất SHINEC,"Sản xuất các sản phẩm điện tử, vi tính",OTC,2000000
NuiPhao,Công ty TNHH Khai thác chế biến khoáng sản Núi Pháo,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),Khác,0
Nuocdathuysan,CTCP Nước đá Thủy sản Kiên giang,Sản xuất thực phẩm,OTC,0
NuocQuangNam,CTCP Cấp thoát nước Quảng Nam,Chăn nuôi,OTC,21600000
NuocSachLaoCai,Công ty TNHH MTV Kinh doanh Nước sạch Lào Cai,"Nước, chất thải và các hệ thống khác",Khác,0
Nutifood,CTCP Thực phẩm Dinh dưỡng Đồng Tâm,Sản xuất thực phẩm,OTC,0
NVC,CTCP Nam Vang,Bán buôn hàng lâu bền,OTC,16000000
NVN,CTCP Nhà Việt Nam,Bất động sản,OTC,10656800
NVS,CTCP Chứng khoán Navibank,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,3500000
Oceanbank,Ngân hàng Thương mại TNHH MTV Đại Dương,Trung gian tín dụng và các hoạt động liên quan,Khác,0
OLC,"CTCP Xây dựng, Dịch vụ và Hợp tác Lao động","Xây dựng nhà cửa, cao ốc",OTC,0
OMC,CTCP Quản lý Quỹ Đầu tư Lighthouse,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",OTC,0
ORC,CTCP Bán lẻ và Quản lý Bất động sản Đại Dương,Cửa hàng đồ nội thất và đồ dùng gia đình,OTC,0
OSC,CTCP Chứng khoán Đại Tây Dương,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,13500000
OSCVN,CTCP Du lịch Dịch vụ Dầu khí Việt Nam,Khách sạn và phòng ở,OTC,0
Oseven,CTCP Oseven,"Sản xuất hóa chất, dược phẩm",OTC,111600000
OTG,CTCP Otran Logistics,Kho bãi,OTC,0
OtoTienGiang,CTCP Vận tải Ô Tô Tiền Giang,Hỗ trợ vận tải,OTC,0
PacificAudit,Công ty TNHH Kiểm toán Thái Bình Dương,Dịch vụ pháp lý,Khác,0
PACKEXIM,CTCP Sản xuất và Xuất nhập khẩu Bao bì,Sản xuất các sản phẩm nhựa và cao su,OTC,0
Packsimex,CTCP Xuất nhập khẩu Sản xuất Gia công và Bao bì,Bán buôn hàng tiêu dùng,OTC,0
PACO,Công ty TNHH Dịch vụ Kiểm toán và Tư vấn Kế toán Bắc Đẩu,Dịch vụ pháp lý,Khác,0
PAMCO,CTCP Quản lý Quỹ Leadvisors,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",OTC,0
PBK,CTCP Điện lực Dầu khí Bắc Kạn,"Phát, truyền tải và phân phối điện năng",OTC,8642300
PDAC,Công ty TNHH Kiểm toán và Tư vấn Phan Dũng,Dịch vụ pháp lý,Khác,0
PDT,CTCP Thương mại Dầu khí Đồng Tháp,Trạm xăng,OTC,773526
PeaceTour,CTCP Du lịch Hòa Bình Việt Nam,Khách sạn và phòng ở,OTC,0
PetroKienGiang,CTCP Xăng dầu Dầu khí Kiên Giang,Bán buôn hàng tiêu dùng,OTC,0
PETROMAT,CTCP Vật tư Xăng dầu Petec,Cửa hàng đồ nội thất và đồ dùng gia đình,OTC,0
PETROMEKONG,CTCP Vận tải Dầu khí Mê Kông,Bán buôn hàng lâu bền,OTC,0
PetroTrade,Công ty Thương mại Xăng dầu Lào,Phân phối khí đốt thiên nhiên,Lào,235000000
PetroVietnam,Tập đoàn Dầu khí Việt Nam,"Khai thác dầu mỏ, khí đốt",Khác,0
PFH,CTCP Đầu tư Tài chính Bảo hiểm Dầu khí,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,0
PFI,CTCP Đầu tư Tài chính Công đoàn Dầu khí Việt Nam,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,0
PFV,CTCP Đầu tư và Thương mại PFV,Bất động sản,OTC,60000000
PhanPhoiVietnam,CTCP Đầu tư và Phát triển Hệ thống Phân phối Việt Nam,Bán buôn hàng tiêu dùng,OTC,0
PhanVu,CTCP Đầu tư Phan vũ,"Xây dựng nhà cửa, cao ốc",OTC,15000000
PHFM,CTCP Quản lý Quỹ Phú Hưng,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",OTC,0
PhimGiaiPhong,CTCP Phim Giải phóng,Công nghiệp thu âm và phim ảnh,OTC,0
PhimThienNgan,CTCP Phim Thiên Ngân,Công nghiệp thu âm và phim ảnh,OTC,0
PHT,CTCP Sản xuất và Thương mại Phúc Tiến,Sản xuất sản phẩm khoáng chất phi kim,OTC,21440030
PhuDat,CTCP Đầu tư và Xây dựng Dầu khí Phú Đạt,Bất động sản,OTC,43000000
PhuHung,CTCP Bảo hiểm Phú Hưng,Bảo hiểm và các hoạt động liên quan,OTC,30000000
PhuHungLife,CTCP Bảo hiểm nhân thọ Phú Hưng,Bảo hiểm và các hoạt động liên quan,Khác,0
PhuLong,CTCP Địa ốc Phú Long,Phát triển bất động sản,OTC,0
PHUMYOIL,CTCP Sản xuất và Chế biến Dầu khí Phú Mỹ,Sản xuất xăng dầu và than đá,OTC,0
PhuongNamSF,CTCP Chế biến Thực phẩm Phương Nam,"Ngư nghiệp, săn bắt",OTC,0
PhuongTrang,CTCP Du lịch và Vận tải Phương Trang,Hỗ trợ vận tải,OTC,0
PhuQuoc,CTCP Du lịch Phú Quốc,Khách sạn và phòng ở,OTC,0
PhuTung,CTCP Xuất nhập khẩu Máy và Phụ tùng,Bán buôn hàng tiêu dùng,OTC,0
PIDIC,CTCP Đầu tư Phát triển Hạ tầng Phú Quốc,Chăn nuôi,OTC,0
Pisico,CTCP Chế biến Gỗ nội thất Pisico,"Sản xuất các sản phẩm điện tử, vi tính",OTC,0
PisicoDongAn,CTCP Chế biến gỗ Pisico Đồng An,Sản xuất các sản phẩm gỗ,OTC,0
PKR,CTCP Đường sắt Phú Khánh,Hỗ trợ vận tải,OTC,2000000
PME,CTCP Pymepharco,"Sản xuất hóa chất, dược phẩm",OTC,0
PMM,CTCP Hàng hải Phú Mỹ,Hỗ trợ vận tải,OTC,2396640
PNB,Ngân hàng TMCP Phương Nam,Trung gian tín dụng và các hoạt động liên quan,Khác,321247998
PNS,CTCP Chứng khoán Funan,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,0
PNTAudit,Công ty TNHH Kiểm toán Quốc tế PNT,Dịch vụ pháp lý,Khác,0
Porycoast,CTCP Tư vấn Thiết kế Cảng - Kỹ thuật biển,"Kiến trúc, tư vấn xây dựng và dịch vụ liên quan",OTC,0
POTRACO,CTCP Vận tải và Dịch vụ Điện lực,"Sản xuất thiết bị, máy móc",OTC,4700000
PPAP,Công ty Cảng Phnom Penh,Vận tải đường thủy,Campuchia,0
PPG,CTCP Sản xuất - Thương mại - Dịch vụ Phú Phong,Sản xuất sản phẩm khoáng chất phi kim,OTC,7342500
PPSP,Đặc khu Kinh tế Phnom Penh,Bất động sản,Campuchia,0
PPWSA,Công ty Cấp thoát nước Phnom Penh,"Nước, chất thải và các hệ thống khác",Campuchia,86973162
Prevoir,Công ty TNHH Bảo hiểm Nhân thọ Prévoir Việt Nam,Bảo hiểm và các hoạt động liên quan,Khác,0
Proconco,CTCP Việt Pháp Sản xuất Thức ăn Gia súc PROCONCO,Sản xuất thực phẩm,OTC,0
PROMEXCO,CTCP Sản xuất Bao bì và Hàng xuất khẩu,Sản xuất các sản phẩm gỗ,OTC,5000000
PRUBF1,Quỹ đầu tư Cân bằng Prudential,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",OTC,50000000
Prudential,Công ty TNHH Bảo hiểm Nhân thọ Prudiential Việt Nam,Bảo hiểm và các hoạt động liên quan,Khác,0
PTF,Công ty Tài chính TNHH MTV Bưu Điện,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",Khác,0
PTHTKCNThaiNguyen,CTCP Phát Triển Hạ tầng Khu Công nghiệp Thái Nguyên,Dịch vụ quản lý và tái chế chất thải,OTC,0
PTICC,CTCP Tư vấn Đầu tư và Xây dựng Bưu điện,"Xây dựng nhà cửa, cao ốc",OTC,0
PTK,CTCP Luyện kim Phú Thịnh,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),OTC,21600000
PTM,CTCP Sản xuất Thương mại và Dịch vụ Ô Tô PTM,Bán buôn hàng lâu bền,OTC,4200000
PVCI,CTCP Đầu tư Xây lắp Dầu khí Việt Nam,"Xây dựng nhà cửa, cao ốc",OTC,0
PVCME,CTCP Thi Công Cơ giới và Lắp máy Dầu khí,"Sản xuất thiết bị, máy móc",OTC,50000000
PVcomBank,Ngân hàng TMCP Đại chúng Việt Nam,Trung gian tín dụng và các hoạt động liên quan,OTC,0
PVEIC,Tổng Công ty Bảo dưỡng - Sửa chữa Công trình Dầu khí,"Các dịch vụ chuyên môn, khoa học và kỹ thuật khác",OTC,0
PVF,Tổng Công ty Tài chính Cổ phẩn Dầu khí Việt Nam,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,600000000
PVFCCapital,CTCP Quản lý Quỹ Ngân hàng TMCP Đại chúng Việt Nam,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",OTC,0
PVIASSET,CTCP Quản lý Quỹ PVI,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",OTC,0
PVID,CTCP Đầu tư và Xây lắp khí,Sản xuất các sản phẩm nhựa và cao su,OTC,0
PVQuangNinh,CTCP Xăng dầu Dầu khí Quảng Ninh,Bán buôn hàng tiêu dùng,OTC,0
PVSH,CTCP Vạn Khởi Thành,"Xây dựng nhà cửa, cao ốc",OTC,44697200
PVST,CTCP Du Lịch Dầu khí Sapa,Khách sạn và phòng ở,OTC,10000000
PVThaiNguyen,CTCP Xăng dầu Dầu khí Thái Nguyên,Chăn nuôi,OTC,0
PWC,Công ty TNHH Price Waterhouse Coopers Việt Nam,Dịch vụ pháp lý,Khác,0
PXH,CTCP Xây lắp Dầu khí Hà Nội,Bất động sản,OTC,30000000
PXK,CTCP Đầu tư và Xây lắp Dầu khí Kinh Bắc,"Xây dựng nhà cửa, cao ốc",OTC,15000000
PYU,CTCP Môi trường và Công trình Đô thị Phúc Yên,Dịch vụ quản lý và tái chế chất thải,OTC,2073985
QBR,CTCP Đường sắt Quảng Bình,Hỗ trợ vận tải,OTC,1760500
QCAudit,Công ty TNHH Kiểm toán Quy Chuẩn,Dịch vụ pháp lý,Khác,0
QLD,CTCP Quản lý và Xây dựng Giao thông Lạng Sơn,Xây dựng công nghiệp nặng và dân dụng,OTC,1207400
QLT,CTCP Quản lý Bảo trì Đường thủy Nội địa Số 10,Hỗ trợ vận tải,OTC,1500000
QNAASC,Công ty TNHH Dịch vụ Tư vấn Tài chính Kế toán Kiểm toán Quảng Ninh,Dịch vụ pháp lý,Khác,0
QNP,CTCP Cảng Quy Nhơn,Hỗ trợ vận tải,OTC,40409950
QNSC,CTCP Cung ứng Tàu biển Quảng Ninh,Hỗ trợ vận tải,OTC,0
QuangMinh,Công ty TNHH Kiểm toán Quang Minh,Dịch vụ pháp lý,Khác,0
QuangtruongQT,CTCP Thương mại Dịch vụ Quảng trường Quốc tế,Của hàng hàng hóa tổng hợp,OTC,0
QuyDauTuVN,Công ty Cổ phần Quản lý Quỹ Đầu tư Dragon Capital Việt Nam,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",OTC,0
QuyVCBF,Quỹ đầu tư Cân bằng Chiến lược VCBF,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,0
QuyVietCat,CTCP Quản lý Quỹ Việt Cát,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",OTC,0
QVA,Công ty TNHH Kiểm toán Quảng Việt,Dịch vụ pháp lý,Khác,0
